Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD
AT,,,1152600,1038750,81612000,2031750,7709300,26819000,7755500,343530000,4500000,4941900,11110500,913450,1790600
BE,,,448400,400250,31355000,782850,2970800,10315000,2988500,130192500,1721600,1905975,4292250,348800,682000
BG,,,11300,10100,796250,19750,75100,260000,75500,3315000,43400,48075,108000,8800,17400
CY,,,7000,6300,492500,12325,46800,162000,47000,2047500,27100,30000,67500,5500,10800
CZ,,,87900,77850,6270750,152250,580500,2019000,581000,25987500,337800,372525,827250,68300,134200
DE,,,1117300,998650,78945000,1953400,7428900,25735000,7456000,329385000,4306900,4763025,10688250,872450,1718200
DK,,,703200,626900,49260000,1226200,4656600,16161000,4681000,204435000,2693800,2983125,6684750,549800,1070400
EE,,,24000,21450,1679000,41950,159200,552000,160000,6975000,92200,102075,230250,18650,36600
ES,,,1188300,1066450,83668750,2085875,7926700,27376000,7965000,349185000,4569800,5077500,11346750,925200,1827200
FI,,,237600,211450,16499000,413550,1570900,5437000,1578500,68235000,908000,1006275,2228250,182950,355000
FR,,,22500,20100,1621000,39300,149900,522000,150000,6727500,87400,96150,214500,17650,34800
GB,,,1691900,1526850,120418250,2986250,11357000,39000000,11409000,506197500,6544600,7291350,16109250,1295500,2597000
GR,,,1196600,1062400,83091750,2078200,7871700,27193000,7931500,344355000,4535300,5033925,11295750,942400,1810800
HR,,,274400,244950,20186500,479050,1840000,6428000,1827000,84112500,1075000,1178700,2578500,217100,421600
HU,,,106400,95900,7524000,187575,712400,2469000,716000,31687500,413100,456600,1026750,83850,165000
IE,,,95000,86150,6765250,168425,641300,2171000,643500,28935000,368500,410775,913500,73250,146800
IN,IN-AN,,5600,5050,395500,9900,37500,130000,38000,1627500,21700,24075,54000,4350,8600
IN,IN-AP,,737300,656300,50961500,1283650,4875500,16875000,4899500,210352500,2818000,3121500,6844500,563350,1088000
IN,IN-AR,,5600,5050,396500,9925,37600,130000,38000,1635000,21800,24150,54000,4400,8600
IN,IN-AS,,21200,18900,1480250,36950,140300,485000,141000,6067500,81000,89850,198750,16300,31600
IN,IN-BR,,204500,182400,14301750,356800,1353500,4686000,1362000,58995000,783300,868125,1944750,157400,308400
IN,IN-CH,,107100,95550,7484500,186850,708700,2454000,713000,30832500,410000,454575,1017000,82450,161400
IN,IN-CT,,15500,13850,1084500,27075,102700,356000,103500,4455000,59400,65850,146250,11950,23200
IN,IN-DD,,5800,5200,406250,10150,38500,134000,39000,1672500,22300,24675,54750,4500,8800
IN,IN-DL,,902100,812800,63804000,1589825,6046300,20596000,6072000,269460000,3477400,3876225,8615250,692500,1376200
IN,IN-DN,,5800,5200,407500,10175,38600,134000,39000,1680000,22400,24750,55500,4500,8800
IN,IN-GA,,6700,6000,468500,11700,44400,154000,44500,1927500,25700,28500,63750,5150,10000
IN,IN-GJ,,108600,96550,7565750,188800,717200,2477000,720500,30975000,413700,459300,1013250,83300,161800
IN,IN-HP,,42700,38100,2983500,74525,282700,979000,284500,12285000,163500,181350,405000,32900,64400
IN,IN-HR,,143100,127850,10006000,250125,949200,3277000,954500,41437500,548300,608550,1357500,110000,215600
IN,IN-JH,,25500,22800,1785000,44550,169200,585000,170000,7350000,97700,108450,240750,19650,38400
IN,IN-JK,,15800,14150,1106250,27625,104900,363000,105500,4537500,60600,67200,149250,12200,23800
IN,IN-KA,,47800,42550,3333750,83200,316000,1091000,317500,13657500,182600,202350,447000,36650,71000
IN,IN-KL,,33800,30050,2353250,58800,223400,772000,224500,9637500,128800,143025,315750,25950,50400
IN,IN-LD,,5600,5000,393000,9825,37300,129000,37500,1620000,21600,23925,53250,4350,8400
IN,IN-MH,,428400,384300,30341500,751625,2857200,9869000,2870000,126150000,1647500,1827750,4116000,331900,663000
IN,IN-ML,,5900,5300,413750,10350,39200,136000,39500,1702500,22700,25125,56250,4550,8800
IN,IN-MN,,7300,6550,511000,12775,48400,168000,48500,2100000,28000,31050,69000,5650,11000
IN,IN-MP,,201900,179950,14105250,351950,1335900,4623000,1343500,57952500,772100,856275,1905750,155500,303200
IN,IN-MZ,,5700,5150,403500,10100,38300,133000,38500,1665000,22200,24525,54750,4450,8600
IN,IN-NL,,5700,5100,399750,10000,37900,132000,38000,1650000,21900,24300,54000,4400,8600
IN,IN-OR,,26400,23600,1849500,46125,175100,606000,176000,7590000,101300,112200,249000,20350,39600
IN,IN-PB,,96900,86400,6766000,169025,641100,2220000,645000,27885000,370700,411150,918750,74600,145800
IN,IN-PY,,6100,5450,427500,10700,40600,141000,41000,1762500,23500,26025,57750,4700,9200
IN,IN-RJ,,203100,181000,14152750,354100,1343900,4646000,1351500,58290000,776000,861300,1911750,156000,304200
IN,IN-SK,,5600,5050,396750,9925,37600,131000,38000,1635000,21800,24150,54000,4400,8600
IN,IN-TG,,298100,265150,20634750,518600,1969400,6812000,1979500,84960000,1138300,1260825,2767500,227850,440200
IN,IN-TN,,666100,588450,46355500,1151050,4376600,15099000,4391500,189697500,2521600,2802900,6155250,509200,987400
IN,IN-TR,,6700,6000,469000,11725,44400,154000,44500,1927500,25700,28500,63750,5150,10000
IN,IN-UP,,276300,246650,19309750,482500,1831300,6322000,1841500,79717500,1057800,1173750,2610000,212150,414600
IN,IN-UT,,11800,10500,824500,20575,78100,270000,78500,3397500,45100,50025,111750,9050,17600
IN,IN-WB,,234900,209950,16469250,410650,1558800,5410000,1567500,68092500,903400,999675,2242500,181550,356200
IT,,,367600,325000,26189500,635775,2422700,8423000,2425000,108727500,1409400,1555275,3450750,286350,559600
LT,,,53000,46300,3809250,90525,345700,1205000,345000,15667500,201800,222000,488250,41050,80400
LU,,,1500,1300,103250,2575,9700,34000,10000,427500,5700,6225,14250,1150,2200
LV,,,15200,13350,1107500,26125,99900,349000,99500,4530000,58400,64125,141000,11850,23400
MT,,,600,550,42250,1050,4000,14000,4000,172500,2300,2550,6000,450,1000
NL,,,134400,118900,9596250,232600,886700,3086000,887500,39690000,516200,568875,1266000,105150,206400
NZ,,,76400,65000,5663750,127175,489300,1714000,484000,22965000,287800,314925,672750,58650,115200
PL,,,1042900,938300,75597000,1835250,7008900,24507000,7002000,317325000,4108200,4488975,10015500,834900,1629400
PT,,,2000,1800,144250,3550,13500,47000,13500,600000,7800,8700,19500,1550,3200
RO,,,1126000,1003750,80326000,1963325,7478600,25954000,7492500,334650000,4342400,4794975,10699500,879000,1739200
SE,,,98100,87600,6882500,171325,651000,2263000,654000,28665000,377400,417450,938250,76950,150000
SI,,,8500,7600,606750,14900,56700,197000,57000,2520000,33000,36375,81750,6700,13000
SK,,,1259400,1143750,89712250,2236975,8513500,28949000,8544000,382312500,4896400,5466075,12116250,973150,1947600
US,US-AK,AK-AT LARGE,414400,365450,30107500,714800,2733600,9508000,2726000,124050000,1594000,1749825,3839250,323200,636000
US,US-AL,AL-1,513500,455200,37325000,890300,3403600,11755000,3396500,154507500,1977400,2181150,4779000,398450,789400
US,US-AL,AL-2,459900,406950,33277000,795975,3040700,10508000,3036500,137805000,1767700,1946625,4269750,356100,705200
US,US-AL,AL-3,492300,435750,35810250,852300,3258900,11260000,3251000,148027500,1893900,2088375,4572000,381700,756400
US,US-AL,AL-4,528900,470950,38352000,921075,3519500,12102000,3514500,159787500,2040400,2257500,4950000,409500,815200
US,US-AL,AL-5,559700,495750,40700250,969625,3707400,12807000,3699000,168390000,2154400,2376225,5205000,434200,861000
US,US-AL,AL-6,794500,703800,57813500,1376550,5264400,18194000,5251000,239205000,3060100,3374475,7389750,616750,1222600
US,US-AL,AL-7,412400,367000,29887500,717800,2741900,9449000,2739000,124035000,1590600,1756725,3856500,320000,634600
US,US-AR,AR-1,387200,346050,28124250,676800,2587600,8940000,2582500,117255000,1503600,1656825,3648000,301700,599800
US,US-AR,AR-2,688300,612500,49932250,1197950,4577100,15815000,4570500,206782500,2659200,2925975,6441750,535100,1062200
US,US-AR,AR-3,609500,545300,44254000,1066550,4077400,14075000,4070500,184747500,2368300,2611650,5751000,474950,944800
US,US-AR,AR-4,372100,332450,27012750,650200,2485600,8583000,2481000,112635000,1444000,1591950,3503250,289750,576200
US,US-AZ,AZ-1,1866400,1630500,136631750,3189225,12196800,42445000,12157500,552450000,7114300,7778550,17021250,1445450,2853600
US,US-AZ,AZ-2,1362000,1191150,99693500,2329775,8902900,30979000,8882500,401175000,5189400,5666475,12436500,1055100,2085600
US,US-AZ,AZ-3,1311400,1143000,96220000,2235675,8554900,29786000,8521500,388372500,4992900,5458575,11918250,1014850,2003000
US,US-AZ,AZ-4,1839700,1608800,134928250,3146750,12042100,41939000,11995000,546525000,7029600,7684200,16800000,1426450,2816200
US,US-AZ,AZ-5,1322200,1154850,97001250,2258900,8644500,30108000,8610500,392205000,5045900,5514075,12053250,1024650,2022800
US,US-AZ,AZ-6,2113900,1849100,155055500,3616750,13840800,48208000,13787000,627600000,8078800,8829150,19306500,1639950,3235400
US,US-AZ,AZ-7,2726600,2380650,199663000,4656375,17795100,61878000,17751000,803055000,10368000,11334675,24820500,2109000,4160200
US,US-AZ,AZ-8,1554800,1357750,114063500,2655675,10162900,35388000,10123000,461190000,5931500,6484050,14171250,1204550,2377800
US,US-AZ,AZ-9,1456300,1273550,106718000,2491050,9530200,33161000,9496500,431610000,5558400,6077475,13302750,1128650,2229800
US,US-CA,CA-1,500600,443450,36441500,867300,3317100,11503000,3308500,150382500,1931100,2124300,4662000,390000,770800
US,US-CA,CA-10,1045100,918100,76016500,1795700,6844800,23703000,6849500,304912500,3974000,4343400,9599250,808000,1600000
US,US-CA,CA-11,776000,688700,56377250,1347025,5149900,17802000,5139000,233505000,2993400,3299475,7241250,603450,1196200
US,US-CA,CA-12,1632600,1461000,117949500,2857450,10907800,37495000,10906000,492525000,6315600,6991725,15390000,1267300,2518000
US,US-CA,CA-13,1003000,891100,72801750,1742875,6660900,23014000,6649500,301515000,3869000,4267500,9374250,780000,1545400
US,US-CA,CA-14,727800,646100,52893000,1263700,4831100,16695000,4821000,219007500,2807400,3096000,6794250,566000,1122000
US,US-CA,CA-15,648500,575750,47165250,1126125,4306300,14889000,4296000,195307500,2503200,2759325,6054000,504450,1000000
US,US-CA,CA-16,432700,384550,31371750,752125,2872500,9922000,2870000,129720000,1667400,1838925,4043250,336150,665400
US,US-CA,CA-17,1287400,1148800,93398250,2246850,8586700,29605000,8574500,388837500,4983500,5504475,12099000,1000950,1991600
US,US-CA,CA-18,899200,797200,65439250,1559200,5963000,20639000,5948000,270540000,3468500,3820575,8380500,700000,1386000
US,US-CA,CA-19,600000,533450,43609750,1043325,3988800,13784000,3980500,180787500,2317800,2556000,5611500,466800,926000
US,US-CA,CA-2,725800,643500,52820750,1258575,4813700,16668000,4801000,218512500,2801000,3084300,6765750,565100,1119200
US,US-CA,CA-20,642000,570800,46607500,1116450,4267100,14740000,4259500,193305000,2478800,2733975,6006000,499450,989800
US,US-CA,CA-21,585000,516700,42573500,1010625,3860900,13372000,3855000,174457500,2245100,2467125,5415000,453600,897000
US,US-CA,CA-22,640900,568100,46607500,1111150,4245400,14692000,4239000,191700000,2467400,2715000,5966250,498100,986200
US,US-CA,CA-23,403900,358350,29364750,700950,2678400,9274000,2674000,120982500,1557600,1713075,3765000,314250,622000
US,US-CA,CA-24,636500,564600,46284500,1104275,4222200,14610000,4212500,191355000,2455100,2704650,5936250,495250,980800
US,US-CA,CA-25,1088200,962100,79686250,1881775,7189100,25044000,7177500,322425000,4194200,4567875,10092750,846550,1683000
US,US-CA,CA-26,657100,582200,47823250,1138675,4352000,15063000,4344000,196755000,2530200,2783400,6114000,510850,1012000
US,US-CA,CA-27,647800,575500,47068250,1125600,4302200,14870000,4294500,194730000,2499800,2755800,6052500,503850,998800
US,US-CA,CA-28,915200,812250,66517500,1588650,6072400,21000000,6061000,274747500,3528800,3888600,8541000,712050,1410400
US,US-CA,CA-29,831800,742100,60263750,1451475,5543800,19104000,5539000,250477500,3214800,3551025,7812750,646450,1283800
US,US-CA,CA-3,490500,435600,35661000,851950,3257400,11271000,3250000,147555000,1894000,2086575,4581750,381950,756400
US,US-CA,CA-30,784200,694750,57031750,1358875,5192500,17969000,5184000,234510000,3018300,3320550,7299750,609600,1208400
US,US-CA,CA-31,676700,599750,49278750,1173075,4480100,15505000,4475500,201780000,2602300,2861925,6295500,525600,1042400
US,US-CA,CA-32,462800,410500,33633750,802900,3067300,10604000,3063000,138405000,1781400,1961250,4311000,359450,712000
US,US-CA,CA-33,1012000,897450,73610250,1755325,6712100,23221000,6696000,304335000,3902700,4300425,9436500,787450,1560000
US,US-CA,CA-34,801400,714400,58030750,1397225,5335600,18387000,5332000,240892500,3093500,3417975,7515750,622300,1234200
US,US-CA,CA-35,620900,553800,45067000,1083125,4138700,14288000,4133500,186967500,2401700,2649525,5829000,482950,958200
US,US-CA,CA-36,679000,603400,49381000,1180150,4512400,15613000,4502500,204435000,2623900,2889900,6346500,528400,1047600
US,US-CA,CA-37,694700,617200,50601250,1207200,4618100,15978000,4605500,209407500,2685500,2958450,6491250,541200,1072200
US,US-CA,CA-38,480500,427500,34888250,836100,3195100,11034000,3190500,144465000,1855400,2045550,4497000,373650,741600
US,US-CA,CA-39,1080700,946900,78556500,1852025,7054700,24440000,7064000,312960000,4094000,4467675,9884250,834050,1649200
US,US-CA,CA-4,703000,621850,51246000,1216250,4652900,16130000,4639000,211267500,2709500,2979750,6530250,547250,1082200
US,US-CA,CA-40,421100,374900,30555500,733225,2801800,9665000,2798000,126720000,1625500,1794600,3942750,327200,648800
US,US-CA,CA-41,542500,482800,39359250,944250,3607900,12464000,3603000,163057500,2094700,2310900,5079750,422050,835800
US,US-CA,CA-42,538900,478450,39231250,935800,3578400,12385000,3570000,162142500,2081200,2291550,5029500,419450,831200
US,US-CA,CA-43,1352400,1209850,97699250,2366250,9032500,31062000,9032000,407835000,5231400,5789700,12747750,1049850,2087200
US,US-CA,CA-44,462000,411300,33522000,804425,3073800,10601000,3069500,139102500,1783200,1969200,4326000,358850,712000
US,US-CA,CA-45,1630400,1434800,118338000,2806325,10695300,37029000,10705000,476497500,6205800,6789375,15022500,1262600,2494600
US,US-CA,CA-46,574500,507650,41673500,992875,3788400,13091000,3788000,169875000,2198300,2413950,5326500,445350,882400
US,US-CA,CA-47,647600,574400,47084500,1123500,4294000,14857000,4286000,194227500,2495800,2748375,6037500,503650,997200
US,US-CA,CA-48,1400600,1230600,102092500,2406900,9185800,31849000,9179500,412027500,5340700,5845425,12872250,1084550,2145800
US,US-CA,CA-49,1002400,886350,73017250,1733575,6622800,22937000,6613000,298747500,3850800,4230225,9299250,778800,1542200
US,US-CA,CA-5,628900,558600,45719250,1092550,4177300,14443000,4168000,189435000,2428400,2676600,5874750,489300,970000
US,US-CA,CA-50,701700,624000,51045000,1220475,4665700,16114000,4656500,211335000,2710800,2987700,6561000,545750,1083600
US,US-CA,CA-51,584000,520800,42278250,1018575,3889500,13407000,3887000,175620000,2255000,2491350,5481000,453650,899800
US,US-CA,CA-52,916900,815050,66606500,1594125,6092800,21052000,6082000,275850000,3539600,3902850,8571750,713150,1413400
US,US-CA,CA-53,736500,656000,53377250,1283075,4901300,16902000,4896000,221602500,2843700,3140025,6903000,572200,1136000
US,US-CA,CA-6,1131500,1006450,82076750,1968525,7521900,25995000,7510500,340095000,4369100,4816050,10587750,880950,1741800
US,US-CA,CA-7,664000,587150,48375500,1148375,4388700,15203000,4380500,198277500,2552900,2805075,6165000,516050,1022800
US,US-CA,CA-8,660600,586900,48067000,1147925,4389300,15192000,4379500,198810000,2552400,2810550,6172500,514250,1019200
US,US-CA,CA-9,539700,480050,39219500,938925,3588800,12397000,3582500,162540000,2084500,2298825,5048250,419550,832000
US,US-CO,CO-1,2802500,2481500,204050750,4853525,18553600,64204000,18514000,840135000,10784100,11868975,26047500,2177350,4305400
US,US-CO,CO-2,1153600,1019350,84128500,1993750,7626500,26432000,7604000,346230000,4439900,4881225,10696500,897150,1774200
US,US-CO,CO-3,850900,750550,62069750,1468000,5614900,19469000,5598500,254940000,3269300,3592725,7869750,660900,1306600
US,US-CO,CO-4,1035900,912950,75713250,1785650,6834800,23722000,6809000,311032500,3983000,4374900,9569250,805150,1590800
US,US-CO,CO-5,910600,805150,66370750,1574750,6023300,20874000,6006000,273427500,3506000,3855525,8451000,708150,1400200
US,US-CO,CO-6,1564300,1372600,114524000,2684675,10265600,35644000,10237000,464242500,5979700,6545850,14363250,1213950,2399400
US,US-CO,CO-7,1041400,915850,76306750,1791275,6857600,23823000,6830000,312007500,3998900,4386225,9587250,809550,1598200
US,US-CT,CT-1,509100,451100,37093500,882325,3375200,11729000,3365500,152835000,1967200,2159625,4745250,397950,785200
US,US-CT,CT-2,478000,422500,34845500,826350,3161500,10986000,3151500,143377500,1842800,2023650,4439250,372850,736000
US,US-CT,CT-3,450900,398900,32798500,780225,2983400,10358000,2976000,134962500,1737600,1908900,4191750,351650,693800
US,US-CT,CT-4,577800,511150,42048750,999800,3823400,13267000,3813500,173160000,2225800,2446500,5370000,450200,888600
US,US-CT,CT-5,450900,398700,32836250,779850,2983200,10367000,2974500,135157500,1738600,1908675,4188750,351700,694000
US,US-DC,DC-AT LARGE,2560500,2276100,184697500,4451725,16982600,58692000,16987500,761647500,9850700,10857600,23955000,1991800,3929200
US,US-DE,DE-AT LARGE,803800,705700,58585000,1380350,5282700,18379000,5262500,239842500,3081400,3377700,7397250,626000,1232600
US,US-FL,FL-1,931900,817800,68094000,1599550,6117500,21290000,6098500,277057500,3568700,3904200,8556750,724350,1427200
US,US-FL,FL-10,2314800,2036950,168400500,3984175,15217600,52897000,15193000,685110000,8866900,9691050,21336750,1799500,3548400
US,US-FL,FL-11,1034500,909500,75561250,1779000,6806000,23697000,6783000,308557500,3972200,4346400,9532500,804950,1588600
US,US-FL,FL-12,1115400,980800,81551750,1918425,7340500,25565000,7314500,332745000,4284800,4686300,10278750,868000,1713400
US,US-FL,FL-13,1077300,946000,78691250,1850300,7078100,24627000,7054500,321022500,4129400,4521450,9907500,837450,1652400
US,US-FL,FL-14,1714500,1505550,125024500,2944800,11254900,39151000,11228000,507667500,6561100,7171725,15750000,1332100,2624200
US,US-FL,FL-15,1066600,936550,78060250,1831900,7010700,24422000,6984000,318007500,4093200,4475025,9806250,829750,1638200
US,US-FL,FL-16,1227200,1078850,89597250,2110150,8070900,28083000,8046000,365475000,4708000,5151150,11301750,954600,1883200
US,US-FL,FL-17,906600,796800,65945750,1558525,5958600,20727000,5942500,269385000,3474200,3800475,8351250,704950,1389800
US,US-FL,FL-18,1172400,1029250,85652500,2013125,7694900,26766000,7676000,347235000,4485400,4903275,10764750,909900,1796000
US,US-FL,FL-19,1434700,1263500,104831750,2471375,9454800,32886000,9423500,428475000,5515000,6037650,13247250,1115950,2205600
US,US-FL,FL-2,767100,673150,55990500,1316625,5035600,17513000,5020000,228240000,2937000,3215025,7047750,596000,1175600
US,US-FL,FL-20,887700,775350,65041750,1516575,5803200,20200000,5781000,263512500,3386800,3704775,8097000,687700,1357600
US,US-FL,FL-21,1098000,965150,80310250,1887775,7223800,25139000,7197500,327765000,4215200,4613250,10113000,853900,1686800
US,US-FL,FL-22,1340100,1177650,97978000,2303425,8813800,30661000,8782500,399982500,5141900,5629800,12337500,1041850,2057600
US,US-FL,FL-23,1154900,1012550,84563750,1980550,7579800,26388000,7550500,344107500,4424300,4840125,10596000,897000,1771800
US,US-FL,FL-24,2131400,1870600,155905000,3658800,13988200,48652000,13950000,632272500,8156600,8917350,19558500,1655350,3263200
US,US-FL,FL-25,1288900,1139150,95042500,2228275,8548300,29941000,8495500,389602500,5012800,5454900,11977500,1008300,2005000
US,US-FL,FL-26,1232600,1076650,90281500,2105900,8046700,28016000,8028000,362685000,4692000,5118525,11242500,953350,1887000
US,US-FL,FL-27,2143100,1882250,156775500,3681625,14075200,49003000,14037500,634777500,8209900,8961450,19686750,1664900,3287200
